"SectionIdentifier","TermIdentifier","CourseIdentifier","Subject","CourseNumber","Number","BeginDate","EndDate","OrgUnitIdentifier","Title","Credits","DeliveryMode","Location","Description"
"AVTN2022001_2178",2178,"AVTN2022","AVTN","2022","001",2017-08-21,2017-12-09,"AVTN","PILOT FLIGHT II",2,"In Person","Clermont College",""
"AVTN2022001_2181",2181,"AVTN2022","AVTN","2022","001",2018-01-08,2018-04-26,"AVTN","PILOT FLIGHT II",2,"In Person","Clermont College",""
"AVTN2071001_2181",2181,"AVTN2071","AVTN","2071","001",2018-01-08,2018-04-26,"AVTN","METEOROLOGY",3,"In Person","Clermont College",""
"AVTN3001001_2178",2178,"AVTN3001","AVTN","3001","001",2017-08-21,2017-12-09,"AVTN","COMM LECTURE I",3,"In Person","Clermont College",""
"AVTN3002001_2181",2181,"AVTN3002","AVTN","3002","001",2018-01-08,2018-04-26,"AVTN","COMM LECTURE II",3,"In Person","Clermont College",""
"AVTN3021001_2178",2178,"AVTN3021","AVTN","3021","001",2017-08-21,2017-12-09,"AVTN","COMM FLIGHT I",2,"In Person","Clermont College",""
"AVTN3021001_2181",2181,"AVTN3021","AVTN","3021","001",2018-01-08,2018-04-26,"AVTN","COMM FLIGHT I",2,"In Person","Clermont College",""
"AVTN3022001_2178",2178,"AVTN3022","AVTN","3022","001",2017-08-21,2017-12-09,"AVTN","COMM FLIGHT II",2,"In Person","Clermont College",""
"AVTN3022001_2181",2181,"AVTN3022","AVTN","3022","001",2018-01-08,2018-04-26,"AVTN","COMM FLIGHT II",2,"In Person","Clermont College",""
"AVTN3023001_2178",2178,"AVTN3023","AVTN","3023","001",2017-08-21,2017-12-09,"AVTN","COMM FLIGHT III",2,"In Person","Clermont College",""
"AVTN3023001_2181",2181,"AVTN3023","AVTN","3023","001",2018-01-08,2018-04-26,"AVTN","COMM FLIGHT III",2,"In Person","Clermont College",""
"AVTN3071001_2178",2178,"AVTN3071","AVTN","3071","001",2017-08-21,2017-12-09,"AVTN","AVIATION SAFETY",3,"In Person","Clermont College",""
"AVTN3072001_2181",2181,"AVTN3072","AVTN","3072","001",2018-01-08,2018-04-26,"AVTN","AIRCRAFT SYSTEMS",3,"In Person","Clermont College",""
"BA1050001_2178",2178,"BA1050","BA","1050","001",2017-08-21,2017-12-09,"BA","SOCIAL MEDIA",3,"DL 100%","Online",""
"BA1050001_2181",2181,"BA1050","BA","1050","001",2018-01-08,2018-04-26,"BA","SOCIAL MEDIA",3,"DL 100%","Online",""
"BA2099001_2181",2181,"BA2099","BA","2099","001",2018-01-08,2018-04-26,"BA","INDEP STUDY:BUS",1,"DL 100%","Online",""
"BANA2081001_2178",2178,"BANA2081","BANA","2081","001",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"In Person","Clermont College",""
"BANA2081001_2181",2181,"BANA2081","BANA","2081","001",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081002_2178",2178,"BANA2081","BANA","2081","002",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081002_2181",2181,"BANA2081","BANA","2081","002",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081003_2178",2178,"BANA2081","BANA","2081","003",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081003_2181",2181,"BANA2081","BANA","2081","003",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081004_2178",2178,"BANA2081","BANA","2081","004",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081005_2178",2178,"BANA2081","BANA","2081","005",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2082001_2178",2178,"BANA2082","BANA","2082","001",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082001_2181",2181,"BANA2082","BANA","2082","001",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"In Person","Clermont College",""
"BANA2082002_2178",2178,"BANA2082","BANA","2082","002",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082002_2181",2181,"BANA2082","BANA","2082","002",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082003_2178",2178,"BANA2082","BANA","2082","003",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082003_2181",2181,"BANA2082","BANA","2082","003",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082004_2178",2178,"BANA2082","BANA","2082","004",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082004_2181",2181,"BANA2082","BANA","2082","004",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082005_2178",2178,"BANA2082","BANA","2082","005",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082005_2181",2181,"BANA2082","BANA","2082","005",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082006_2178",2178,"BANA2082","BANA","2082","006",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082006_2181",2181,"BANA2082","BANA","2082","006",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082007_2178",2178,"BANA2082","BANA","2082","007",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082007_2181",2181,"BANA2082","BANA","2082","007",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082008_2178",2178,"BANA2082","BANA","2082","008",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082008_2181",2181,"BANA2082","BANA","2082","008",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082009_2178",2178,"BANA2082","BANA","2082","009",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082009_2181",2181,"BANA2082","BANA","2082","009",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082010_2181",2181,"BANA2082","BANA","2082","010",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082011_2181",2181,"BANA2082","BANA","2082","011",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082012_2181",2181,"BANA2082","BANA","2082","012",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BIOL1015001_2178",2178,"BIOL1015","BIOL","1015","001",2017-08-21,2017-12-09,"BIOL","INTRO TO A&P",3,"In Person","Clermont College",""
"BIOL1015002_2178",2178,"BIOL1015","BIOL","1015","002",2017-08-21,2017-12-09,"BIOL","INTRO TO A&P",3,"DL 100%","Online",""
"BIOL1015002_2181",2181,"BIOL1015","BIOL","1015","002",2018-01-08,2018-04-26,"BIOL","INTRO TO A&P",3,"DL 100%","Online",""
"BIOL1015003_2178",2178,"BIOL1015","BIOL","1015","003",2017-08-21,2017-12-09,"BIOL","INTRO TO A&P",3,"DL 100%","Online",""
"BIOL1015003_2181",2181,"BIOL1015","BIOL","1015","003",2018-01-08,2018-04-26,"BIOL","INTRO TO A&P",3,"DL 100%","Online",""
"BIOL1015004_2178",2178,"BIOL1015","BIOL","1015","004",2017-08-21,2017-12-09,"BIOL","INTRO TO A&P",3,"DL 100%","Online",""
"BIOL1015004_2181",2181,"BIOL1015","BIOL","1015","004",2018-01-08,2018-04-26,"BIOL","INTRO TO A&P",3,"DL 100%","Online",""
"BIOL1015005_2181",2181,"BIOL1015","BIOL","1015","005",2018-01-08,2018-04-26,"BIOL","INTRO TO A&P",3,"DL 100%","Online",""
"BIOL1015L001_2178",2178,"BIOL1015L","BIOL","1015L","001",2017-08-21,2017-12-09,"BIOL","INTRO TO  A&P LAB",1,"DL 100%","Online",""
"BIOL1015L001_2181",2181,"BIOL1015L","BIOL","1015L","001",2018-01-08,2018-04-26,"BIOL","INTRO TO  A&P LAB",1,"DL 100%","Online",""
"BIOL1015L002_2181",2181,"BIOL1015L","BIOL","1015L","002",2018-01-08,2018-04-26,"BIOL","INTRO TO  A&P LAB",1,"DL 100%","Online",""
"BIOL1021001_2178",2178,"BIOL1021","BIOL","1021","001",2017-08-21,2017-12-09,"BIOL","INTRO BIOLOGY I",3,"In Person","Clermont College",""
"BIOL1021001_2181",2181,"BIOL1021","BIOL","1021","001",2018-01-08,2018-04-26,"BIOL","INTRO BIOLOGY I",3,"In Person","Clermont College",""
"BIOL1021002_2178",2178,"BIOL1021","BIOL","1021","002",2017-08-21,2017-12-09,"BIOL","INTRO BIOLOGY I",3,"DL 100%","Online",""
